name,uidzz,Brand,Family,Model,shape,Diameter,ShankDiameter,CuttingEdgeHeight,LengthTotal,LengthType,Flutes,"FluteShape (spiral, straight, up/downcut, anti/clockwise..)",TipShape,material,Cuts Material,Notes,Order#,Date,Order-Line#,Desc,,Qty,Cost/ea,,,qty on hand,LOCATION,stk_note,,,Diameter[DC],DC,,,,
 endmill 3.1752FAl (&steel?),,HuHao,,,endmill,3.175,,16,38.6,,2,spiral,fishtail,CBD,Al (&steel?),,309,,2,"3.175x10 2 flute Shanghai Hao extended 3.175 double-edged milling cutter alloy aluminum tungsten steel CNC computer engraving machine cutter head Applicable acrylic aluminum substrate speed, high precision, high efficiency, low noise",,3,3.66,,,3,3-3,,,,,,,,,
 endmill 3.1752FAl (&steel?),,HuHao,,,endmill,3.175,,17,38.8,,2,spiral,fishtail,CBD,Al (&steel?),,309,,3,"3.175x17 2 flute Shanghai Hao extended 3.175 double-edged milling cutter alloy aluminum tungsten steel CNC computer engraving machine cutter head Applicable acrylic aluminum substrate speed, high precision, high efficiency, low noise",,3,3.66,,,2,3-3,,,,,,,,,
 endmill 1-42FAl (&steel?) HRC55,,EXE,,,endmill,1,4,3,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,,1,1-3,,,,,,,,,
 endmill 2-42FAl (&steel?) HRC55,,EXE,,,endmill,2,4,4,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,,1,1-3,,,,,,,,,
 endmill 3-32FAl (&steel?) HRC55,,EXE,,,endmill,3,3,8,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,,1,1-3,,,,,,,,,
 endmill 4-42FAl (&steel?) HRC55,,EXE,,,endmill,4,4,10,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,,1,1-3,,,,,,,,,
 endmill 5-52FAl (&steel?) HRC55,,EXE,,,endmill,5,5,13,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,,1,1-3,,,,,,,,,
 endmill 6-62FAl (&steel?) HRC55,,EXE,,,endmill,6,6,15,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,1,6pcs HRC45 HRC55 3f 2/4 flutes 2/4 F 1/2/3/4/5/6MM CNC Tool Tungsten Carbide End Mill set CNC router Aluinum milling cutter ,,6,3.81,,,1,1-3,,,,,,,,,
 endmill 5-52FAl (&steel?) HRC55,,EXE,,,endmill,5,5,13,50,,2,spiral,fishtail,CBD,Al (&steel?) HRC55,,312,,2,5pcs/set 2F 3F 2 Flutes Tungsten Carbide End Mill Diameter HRC55 5mm Router Bit 4 Blade Tungsten Steel Milling Cutter 45 HRC C,,5,4.36,,,5,1-4,,,,,,,,,
 endmill 6-64FAl (&steel?) HRC55,,Jeray,,,endmill,6,6,15,50,,4,spiral,fishtail,CBD,Al (&steel?) HRC55,,313,,1,6mm D6*15*D6*50 4 Flutes HRC55 Tungsten Square End Mills Spiral Bits Carbide CNC Flat Endmill Router Bits ,,4,4.645,,,4,1-6,,,,,,,,,
 chamfer 6-64FAl (&steel?),,Jeray,,,chamfer,6,6,,50,,4,straight,90,CBD,Al (&steel?),,313,,2,chamfering,,1,7.96,,,1,1-6,,,,,,,,,
 chamfer 4-44FAl (&steel?),,Jeray,,,chamfer,4,4,,50,,4,straight,90,CBD,Al (&steel?),,313,,3,chamfering,,1,6.03,,,1,1-6,,,,,,,,,
 roughing 6-63FAl (&steel?) HRC 60,,Jeray,,,roughing,6,6,15,50,,3,spiral,,CBD,Al (&steel?) HRC 60,,313,,4,ROUGHING,,2,8.38,,,2,1-5,,,,,,,,,
 roughing 4-43FAl (&steel?) HRC 60,,Jeray,,,roughing,4,4,11,50,,3,spiral,,CBD,Al (&steel?) HRC 60,,313,,5,ROUGHING,,4,3.975,,,3,1-5,1x broken,,,,,,,,
 endmill 2-62FAl (&steel?),,Black Bird,,,endmill,2,6,8,60,,2,spiral,fishtail,HSS,Al (&steel?),,363,,1,2 Flutes-HSS Cutting Edge Diameter:  6mm-68L,,3,4.87,,,3,3-6,,,,,,,,,
 endmill 2.5-62FAl (&steel?),,Black Bird,,,endmill,2.5,6,11,60,,2,spiral,fishtail,HSS,Al (&steel?),,363,,2,2 Flutes-HSS Cutting Edge Diameter: 5mm-68L,,3,4.87,,,3,3-6,,,,,,,,,
 endmill 3-62FAl (&steel?),,Black Bird,,,endmill,3,6,11,60,,2,spiral,fishtail,HSS,Al (&steel?),,363,,3,2 Flutes-HSS Cutting Edge Diameter: 4mm-65L,,3,4.87,,,2,3-5,1X BROKEN,,,,,,,,
 endmill 3-6Long2FAl (&steel?),,Black Bird,,,endmill,3,6,20,65,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,4,2 Flutes-HSS Cutting Edge Diameter: 3mm-65L,,3,4.87,,,3,3-5,,,,,,,,,
 endmill 4-6Long2FAl (&steel?),,Black Bird,,,endmill,4,6,20,65,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,5,2 Flutes-HSS Cutting Edge Diameter: 3mm,,3,3.39,,,3,3-5,,,,,,,,,
 endmill 5-6Long2FAl (&steel?),,Black Bird,,,endmill,5,6,24,68,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,6,2 Flutes-HSS Cutting Edge Diameter: 2.5mm,,3,3.39,,,3,3-5,,,,,,,,,
 endmill 6-6Long2FAl (&steel?),,Black Bird,,,endmill,6,6,24,68,Long,2,spiral,fishtail,HSS,Al (&steel?),,363,,7,2 Flutes-HSS Cutting Edge Diameter: 2mm,,3,3.39,,,3,3-5,,,,,,,,,
E444 endmill 4Short1FAl,,Sutton,E444,,endmill,4,,11,54,Short,1,spiral,fishtail,CBD,Al,Carbide VHM,378,,1,4x6x11 1F,,1,29.071,A0009596 Sutton E4440400 4mm x 6mm 1 Flute Endmill - Carbide VHM Ultra - Short,"Endmill, 1 Flute, R30 Al, Short ",1,2-2,,,,,,,,,
E444 endmill 3Short1FAl,,Sutton,E444,,endmill,3,,8,50,Short,1,spiral,fishtail,CBD,Al,Carbide VHM,378,,2,3x6x8 1F,,1,27.96,A0009595 Sutton E4440300 3mm x 6mm 1 Flute Endmill - Carbide VHM Ultra - Short,"Endmill, 1 Flute, R30 Al, Short ",0,broken,1x empty box with broken tools,,,,,,,,
E600 Slot Drill 32FSteel,,Sutton,E600,,Slot Drill,3,,12,38,,2,spiral,fishtail,CBD,Steel,Carbide VHM,378,,3,3x3x12 2F,,3,13.4266666666667,A0010094 Sutton E6000300 3mm x 3mm 2 Flute Slot Drill - Carbide VHM - Regular,"Slot Drill, 2 Flute, R30 N, Regular ",3,2-1,,,,,,,,,
E600 Slot Drill 42FSteel,,Sutton,E600,,Slot Drill,4,,14,50,,2,spiral,fishtail,CBD,Steel,Carbide VHM,378,,4,4x4x14 2F,,1,16.872,A0010096 Sutton E6000400 4mm x 4mm 2 Flute Slot Drill - Carbide VHM - Regular,"Slot Drill, 2 Flute, R30 N, Regular ",1,2-1,,,,,,,,,
E600 Slot Drill 62FSteel,,Sutton,E600,,Slot Drill,6,,19,50,,2,spiral,fishtail,CBD,Steel,Carbide VHM,378,,5,6x6x19 2F,,1,23.417,A0010099 Sutton E6000600 6mm x 6mm 2 Flute Slot Drill - Carbide VHM - Regular,"Slot Drill, 2 Flute, R30 N, Regular ",1,2-1,,,,,,,,,
"E444 endmill 4Short1Fnonferrous aluminum alloy, brass & bronze, trimming plastics and similar materials",,Sutton,E444,,endmill,4,,11,54,Short,1,Helix 30,,CBD,"nonferrous aluminum alloy, brass & bronze, trimming plastics and similar materials",Carbide VHM,401 (was duplicate 399),,1,4x6 short 1F,,4,22.39,Sutton E4440400 4mm x 6mm 1 Flute Endmill - Carbide VHM Ultra – Short,Centre cutting for straight plunging or ramping,4,2-2,#400-1 marked as!!,,,,,,,,
"E444 endmill 6Short1Fnonferrous aluminum alloy, brass & bronze, trimming plastics and similar materials",,Sutton,E444,,endmill,6,,13,54,Short,1,Helix 30,,CBD,"nonferrous aluminum alloy, brass & bronze, trimming plastics and similar materials",Carbide VHM,401 (was duplicate 399),,2,6x6 short 1F,,2,23.51,Sutton E4440600 6mm x 6mm 1 Flute Endmill - Carbide VHM Ultra – Short,Centre cutting for straight plunging or ramping,2,2-3,#399 marked as!!,,,,,,,,
"E444 endmill 8Short1Fnonferrous aluminum alloy, brass & bronze, trimming plastics and similar materials",,Sutton,E444,,endmill,8,,11,54,Short,1,Helix 30,,CBD,"nonferrous aluminum alloy, brass & bronze, trimming plastics and similar materials",Carbide VHM,401 (was duplicate 399),,3,8x8 short 1F,,1,32.7,Sutton E4440800 8mm x 8mm 1 Flute Endmill - Carbide VHM Ultra – Short,Centre cutting for straight plunging or ramping,1,2-3,,,,,,,,,
 ballend 6-64F,,M&G,,,ballend,6,6,13,57,,4,,,CBD,,Carbide,,,,,,1,,,Ebay??,1,1-6,,,,,,,,,
 ballend 16-162F,,ebay??,,,ballend,16,16,35,~90,,2,,,,,,,,,,,,,,,,,,,,,,,,,
 chamfer ~10 to 20mm-6-103F,,banggood,,,chamfer,~10 to 20mm,6-10,,,,3,,90 deg,,,,232,,7,6pcs 3 Flute Titanium Chamfer 90 Degree Chamfering End Mill Cutter Countersink Drill Bit,,6,2.05,,,,,,,,,,,,,
 Conical engrave point > 6.35-6.35F,,record power,,,Conical engrave point,> 6.35,6.35,,,,,, ,CBD,,"NOT a cutter, ju8st cone shape",?machinery house?,,,,,2,,,,,,,,,,,,,,
 Burr Cylindrical (Square) > 6.35-6.35F,,P&N(Sutton),,,Burr Cylindrical (Square),> 6.35,6.35,,,,,,,CBD,,,,,,,,1,17.8,P&N(sutton),Bunnings,,,,,,,,,,,
 Burr Cylindrical (Radius) > 6.35-6.35F,,P&N(Sutton),,,Burr Cylindrical (Radius),> 6.35,6.35,,,,,,,CBD,,,,,,,,1,17.8,P&N(sutton),Bunnings,,,,,,,,,,,
 Burr Tree (Pointed) > 6.35-6.35F,,P&N(Sutton),,,Burr Tree (Pointed),> 6.35,6.35,,,,,,,CBD,,,,,,,,1,17.8,P&N(sutton),Bunnings,,,,,,,,,,,
 Burr Flame > 6.35-6.35F,,P&N(Sutton),,,Burr Flame,> 6.35,6.35,,,,,,,CBD,,,,,,,,1,17.8,P&N(sutton),Bunnings,,,,,,,,,,,
 Burr Ball > 6.35-6.35F,,P&N(Sutton),,,Burr Ball,> 6.35,6.35,bit shorter than other 4,,,,,,CBD,,,,,,,,1,17.8,P&N(sutton),Bunnings,,,,,,,,,,,
 endmill 2-6Short2F,,UPDATE SWT??,,,endmill,2,6,7,52,Short,2,,,HSS-AL,,,16-10689-17240,2023-10-23,,5pcs 6mm Shank 2mm x 7mm Straight End Mill Cutter CNC Router Bits 2 Flute,,5,5.144,UPDATE,ebay: au.deal,,4-4,,,,,,,,,
 ??ballend?? 1-3.175Short2F,,UPDATE,,,??ballend??,1,3.175,??,,Short,2,,,,,,16-10689-17241,2023-10-23,1,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC Engraving Router Bit 10PCS AU,,3x2,1.078,UPDATE,ebay: quintillion_oz,,,,,,,,,,,
 ??ballend?? 1.5-3.175Short2F,,UPDATE,,,??ballend??,1.5,3.175,??,,Short,2,,,,,,16-10689-17241,2023-10-23,2,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC Engraving Router Bit 10PCS AU,,3x2,1.078,UPDATE,ebay: quintillion_oz,,,,,,,,,,,
 ??ballend?? 2-3.175Short2F,,UPDATE,,,??ballend??,2,3.175,??,,Short,2,,,,,,16-10689-17241,2023-10-23,3,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC Engraving Router Bit 10PCS AU,,3x2,1.078,UPDATE,ebay: quintillion_oz,,,,,,,,,,,
 ??ballend?? 2.5-3.175Short2F,,UPDATE,,,??ballend??,2.5,3.175,??,,Short,2,,,,,,16-10689-17241,2023-10-23,4,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC Engraving Router Bit 10PCS AU,,3x2,1.078,UPDATE,ebay: quintillion_oz,,,,,,,,,,,
 ??ballend?? 3.175-3.175Short2F,,UPDATE,,,??ballend??,3.175,3.175,??,,Short,2,,,,,,16-10689-17241,2023-10-23,5,1/1.5/2.0/2.5/3.175mm Ball Nose End Mill CNC Engraving Router Bit 10PCS AU,,3x2,1.078,UPDATE,ebay: quintillion_oz,,,,,,,,,,,
 v engrave 0.1-3.1753F**3xflat faces & sharpcorners,,UPDATE,,,v engrave,0.1,3.175,8,30,,3,,,,**3xflat faces & sharpcorners,,16-10689-17242,2023-10-23,,10X 20 deg 0.1mm Diam. 3.175mm Shank V-shape Engraving V-bit End Mill CNC Router,,,2.055,UPDATE,ebay: partools,,,"Shenpeng Brother Electronic Commerce Ltd, C505, Niulanqian Building, Minshi Street, Longhua New District, Shenzhen",,,,,,,,
 endmill 3.175-3.1752F,,UPDATE,,,endmill,3.175,3.175,20,37,,2,,,,,,16-10689-17243,2023-10-23,,"10PCS 3mm 1/8"" 3.175mm shank Spiral HSS End Mill CNC Router Bits Flat Head Drill",,,2.048,UPDATE,ebay: partools,,4-4,"Shenpeng Brother Electronic Commerce Ltd, C505, Niulanqian Building, Minshi Street, Longhua New District, Shenzhen",,,,,,,,
 ??ballend?? 1-3.175Short2F,,UPDATE,,,??ballend??,1,3.175,??,,Short,2,,,,,,16-10689-17238,2023-10-23,1,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC Engraving Router Bit AU,,,1.169,UPDATE,ebay: laser_2010,,,,,,,,,,,
 ??ballend?? 1.5-3.175Short2F,,UPDATE,,,??ballend??,1.5,3.175,??,,Short,2,,,,,,16-10689-17238,2023-10-23,2,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC Engraving Router Bit AU,,,1.169,UPDATE,ebay: laser_2010,,,,,,,,,,,
 ??ballend?? 2-3.175Short2F,,UPDATE,,,??ballend??,2,3.175,??,,Short,2,,,,,,16-10689-17238,2023-10-23,3,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC Engraving Router Bit AU,,,1.169,UPDATE,ebay: laser_2010,,,,,,,,,,,
 ??ballend?? 2.5-3.175Short2F,,UPDATE,,,??ballend??,2.5,3.175,??,,Short,2,,,,,,16-10689-17238,2023-10-23,4,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC Engraving Router Bit AU,,,1.169,UPDATE,ebay: laser_2010,,,,,,,,,,,
 ??ballend?? 3.175-3.175Short2F,,UPDATE,,,??ballend??,3.175,3.175,??,,Short,2,,,,,,16-10689-17238,2023-10-23,5,10X 1/1.5/2.0/2.5/3.175mm Carbide Ball Nose End Mill CNC Engraving Router Bit AU,,,1.169,UPDATE,ebay: laser_2010,,,,,,,,,,,
  F,,UPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  F,,UPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,**3mm V bits (& OTHER #MM?) clamp OK in 1/8” adapter!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Later … add tiny drills…...at least one line entry….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,,60 deg Roland cutter (to fita already on hand Roland head – hopefully), 刻字刀 罗兰刻字刀 国产刻字机刀具 通用刀 roland 刀 高品质 国产通用型 刻字机刀具 ,,,,,mill,226,,,,,,,,,,,,,,,,,,,,,
,,,,,,3,,45 deg Roland cutter (to fita already on hand Roland head – hopefully),,,,,,mill,226,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,,30 deg Roland cutter (to fita already on hand Roland head – hopefully),,,,,,mill,226,,,,,,,,,,,,,,,,,,,,,
